event,reserve_code,station,station_name,parameter,min,max,mean,median
Maria,job,job09wq,Station 9 (09),cdepth,1.6076116,5.6430448,2.31370988375,2.1653544
Maria,job,job10wq,Station 10 (10),cdepth,1.476378,4.92126,2.17170441290323,2.0669292
Maria,job,job19wq,Station 19 (19),cdepth,1.804462,5.8070868,2.48971715587929,2.3622048
Maria,job,job20wq,Station 20 (20),cdepth,2.0013124,6.0039372,2.75993410280957,2.5590552
Maria,job,job09wq,Station 9 (09),depth,1.5748032,4.2322836,2.1844242825,2.132546
Maria,job,job10wq,Station 10 (10),depth,1.4435696,3.6745408,2.04245092445369,2.0013124
Maria,job,job19wq,Station 19 (19),depth,1.7716536,4.2979004,2.36046366742976,2.296588
Maria,job,job20wq,Station 20 (20),depth,1.968504,4.429134,2.63068061436004,2.5262468
Maria,job,job09wq,Station 9 (09),do_mgl,0.7,7,3.3320987654321,3.2
Maria,job,job10wq,Station 10 (10),do_mgl,0.2,9.9,4.56992715920916,4.5
Maria,job,job19wq,Station 19 (19),do_mgl,0.6,9.7,6.03735691987513,6
Maria,job,job20wq,Station 20 (20),do_mgl,4.2,8.8,6.28959417273673,6.1
Maria,job,job09wq,Station 9 (09),do_pct,9.9,117.1,51.7145061728395,48.2
Maria,job,job10wq,Station 10 (10),do_pct,2.3,153.6,69.3691987513007,70.5
Maria,job,job19wq,Station 19 (19),do_pct,9.5,153.9,92.7155046826223,90.3
Maria,job,job20wq,Station 20 (20),do_pct,66,140.3,98.9249739854318,95.6
Maria,job,job09wq,Station 9 (09),ph,7.5,8.3,7.82567567567568,7.8
Maria,job,job10wq,Station 10 (10),ph,7.5,8.3,7.80343392299688,7.8
Maria,job,job19wq,Station 19 (19),ph,7.5,8.2,7.88938605619147,7.9
Maria,job,job20wq,Station 20 (20),ph,7.8,8.1,7.96191467221644,8
Maria,job,job09wq,Station 9 (09),sal,14.1,34.4,29.6164583333333,30.6
Maria,job,job10wq,Station 10 (10),sal,24.4,33,27.5500520291363,25.8
Maria,job,job19wq,Station 19 (19),sal,15.6,34.5,29.0276795005203,32
Maria,job,job20wq,Station 20 (20),sal,31.3,34.6,33.7143600416233,33.9
Maria,job,job09wq,Station 9 (09),spcond,23.41,52.43,45.8145625,47.265
Maria,job,job10wq,Station 10 (10),spcond,38.44,50.69,42.9539646201873,40.48
Maria,job,job19wq,Station 19 (19),spcond,25.62,52.6,44.9266181061394,49.16
Maria,job,job20wq,Station 20 (20),spcond,48.09,52.71,51.479209157128,51.72
Maria,job,job09wq,Station 9 (09),temp,78.08,91.04,84.497375,85.1
Maria,job,job10wq,Station 10 (10),temp,78.98,90.5,84.3652029136316,84.74
Maria,job,job19wq,Station 19 (19),temp,80.06,88.88,84.6720083246618,85.1
Maria,job,job20wq,Station 20 (20),temp,82.58,89.06,84.6766909469303,84.2
Maria,job,job09wq,Station 9 (09),turb,5,286,44.0708333333333,34
Maria,job,job10wq,Station 10 (10),turb,0,145,4.16266944734098,2
Maria,job,job19wq,Station 19 (19),turb,0,357,10.4927083333333,3
Maria,job,job20wq,Station 20 (20),turb,1,725,21.2528616024974,4
