"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delbbnut  ","S",01/26/2015 10:44,1,1,1         ,1         ,"",0.0061,<0>  ,0.0124,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.4113,<0>  ,1.7,<0>  ,
"delbbnut  ","S",03/23/2015 9:22,1,1,1         ,1         ,"",0.0060,<0>  ,0.0099,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.324,<0>  ,2.39,<0>  ,
"delbbnut  ","S",04/08/2015 9:55,1,1,1         ,1         ,"",0.0087,<0>  ,0.0183,<0>  ,0.0020,<0>  ,0.2184,<0>  ,0.2204,<0>  ,12.04,<0>  ,
"delbbnut  ","S",05/28/2015 9:38,1,1,1         ,1         ,"",0.0088,<0>  ,0.0114,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0329,<0>  ,88.97,<0>  ,
"delbbnut  ","S",06/22/2015 9:40,1,1,1         ,1         ,"",0.0164,<0>  ,0.0563,<0>  ,0.0032,<0>  ,0.1281,<0>  ,0.1313,<0>  ,8.46,<0>  ,
"delbbnut  ","S",07/14/2015 13:49,1,1,1         ,1         ,"",0.0181,<0>  ,0.0066,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,80.74,<0>  ,
"delbbnut  ","S",08/10/2015 13:23,1,1,1         ,1         ,"",0.0070,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,73.34,<0>  ,
"delbbnut  ","S",09/21/2015 11:12,1,1,1         ,1         ,"",0.0045,<0>  ,0.0435,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,111.71,<0>  ,
"delbbnut  ","S",10/29/2015 11:07,1,1,1         ,1         ,"",0.0137,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,72.13,<0>  ,
"delbbnut  ","S",11/30/2015 10:57,1,1,1         ,1         ,"",0.0031,<0>  ,0.016,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.145,<0>  ,31.1,<0>  ,
"delbbnut  ","S",12/21/2015 11:58,1,1,1         ,1         ,"",0.0179,<0>  ,0.1482,<0>  ,0.0034,<0>  ,0.4775,<0>  ,0.4809,<0>  ,23.42,<0>  ,
"delbbnut  ","S",12/21/2015 12:00,1,1,1         ,2         ,"",0.0179,<0>  ,0.161,<0>  ,0.0042,<0>  ,0.5092,<0>  ,0.5134,<0>  ,23.91,<0>  ,
"delbbnut  ","S",12/21/2015 12:02,1,1,1         ,3         ,"",0.0204,<0>  ,0.1581,<0>  ,0.0049,<0>  ,0.5184,<0>  ,0.5233,<0>  ,24.86,<0>  ,

